wave,match,decision_of_partner,likes_partner,liked_by_partner,wave_condition,iid_id,partner_id,met_so_far,int_corr,same_race,same_country,age_ratio,met_before,diff_pref_attractive,diff_pref_sincere,diff_pref_intelligent,diff_pref_fun,diff_pref_ambitious,diff_pref_sharedhobbies,rating_by_partner_attractive,rating_by_partner_sincere,rating_by_partner_intelligent,rating_by_partner_fun,rating_by_partner_ambitious,rating_by_partner_sharedhobbies,rated_partner_attractive,rated_partner_sincere,rated_partner_intelligent,rated_partner_fun,rated_partner_ambitious,rated_partner_sharedhobbies
1,1,1,0.8,0.5,1,2-2,19-9,8,0.11,1,0,0.884615385,0,0.009,0.0295,0.0129,0.0295,0.0666,0.0295,8,6,9,9,8,7,7,6,8,9,4,5
1,0,0,0.6,0.8,1,2-2,20-10,9,0.39,1,0,1.153846154,0,0.0122,0.0122,0.014,0.0378,0.0372,0.0378,6,5,7,7,9,7,6,7,8,7,9,8
1,0,0,0.5,0.8,1,3-3,11-1,0,-0.24,1,1,0.965517241,1,0.05,0.02,0.07,0.01,0.1,0.15,7,8,6,5,8,4,7,9,10,7,8,9
1,0,0,0.7,0.8,1,3-3,12-2,1,-0.14,1,1,0.724137931,0,0.2,0.07,0.17,0.14,0,0.1,6,7,10,6,6,5,9,7,9,8,9,7
1,0,1,1,0.8,1,3-3,13-3,2,0.09,0,1,0.75862069,0,0.04,0.04,0.03,0.02,0.01,0.02,10,10,10,10,10,10,7,9,9,7,9,7
1,0,1,0.7,0.8,1,3-3,14-4,3,-0.04,1,1,1.137931034,0,0.0667,0.0117,0.0117,0.0142,0.0167,0.0875,7,9,8,8,8,8,9,7,9,7,9,7
1,0,1,0.6,0.9,1,3-3,15-5,4,-0.14,0,1,0.931034483,0,0.0038,0.0469,0.0469,0.0131,0.0231,0.0538,6,10,8,6,,,9,10,10,10,10,10
1,0,1,0.6,0.8,1,3-3,16-6,5,-0.3,1,1,1.034482759,0,0.0167,0.095,0.0117,0.0275,0.025,0.0875,7,6,6,6,6,6,8,10,10,7,9,9
1,0,0,0.2,0.8,1,3-3,17-7,6,-0.26,1,1,0.965517241,0,0.0196,0.0026,0.0243,0.0139,0.0022,0.0304,6,3,5,4,5,4,8,9,10,7,7,9
1,0,0,0.5,0.8,1,3-3,18-8,7,0.29,1,1,0.896551724,0,0.0198,0.0502,0.0313,0.0098,0.0179,0.0698,4,5,6,4,6,4,7,9,9,8,9,7
1,0,1,0.7,0.9,1,3-3,19-9,8,-0.15,1,0,0.793103448,0,0.0038,0.0277,0.0469,0.0323,0.0538,0.0923,7,7,6,8,7,7,9,9,9,9,9,9
1,0,0,0.5,0.8,1,3-3,20-10,9,-0.47,1,1,1.034482759,0,0.025,0.045,0.02,0.035,0.05,0.025,5,6,8,5,8,6,8,7,9,7,9,7
1,0,0,0.6,0.6,1,4-4,11-1,0,-0.18,1,1,0.965517241,0,0,0.1,0.35,0.1,0.05,0.2,6,7,8,7,7,5,4,10,8,5,8,7
1,0,0,0.6,0.8,1,4-4,12-2,1,-0.18,1,1,0.724137931,1,0.15,0.05,0.45,0.25,0.05,0.05,6,5,10,6,6,5,8,7,8,10,7,8
1,0,1,1,0.4,1,4-4,13-3,2,0.05,0,1,0.75862069,0,0.01,0.08,0.31,0.13,0.04,0.07,10,10,10,10,10,10,4,7,8,8,6,7
1,1,1,0.8,0.8,1,4-4,14-4,3,-0.18,1,1,1.137931034,1,0.1167,0.1083,0.2917,0.0958,0.0667,0.1375,7,7,7,9,9,9,8,10,7,10,7,10
1,0,1,0.9,0.7,1,4-4,15-5,4,0.21,0,1,0.931034483,0,0.0462,0.0731,0.3269,0.1231,0.0731,0.1038,8,8,9,8,8,9,6,9,8,9,8,9
1,0,1,0.6,0.4,1,4-4,16-6,5,0.37,1,1,1.034482759,0,0.0333,0.025,0.2917,0.1375,0.025,0.1375,6,6,7,7,8,7,5,10,8,4,8,2
1,0,1,0.6,0.5,1,4-4,17-7,6,0.35,1,1,0.965517241,0,0.0696,0.1174,0.3043,0.1239,0.0522,0.0804,7,6,3,5,6,5,7,10,10,7,10,5
1,0,0,0.7,0.6,1,4-4,18-8,7,0.15,1,1,0.896551724,0,0.0302,0.0698,0.3113,0.1198,0.0321,0.1198,6,7,8,6,6,5,5,9,9,5,9,7
1,1,1,0.8,0.8,1,4-4,19-9,8,-0.47,1,0,0.793103448,0,0.0462,0.0923,0.3269,0.1423,0.0038,0.1423,7,7,7,10,9,10,9,8,10,10,7,8
1,0,0,0.7,1,1,4-4,20-10,9,-0.19,1,1,1.034482759,0,0.025,0.075,0.3,0.075,0.1,0.075,7,8,8,7,8,7,8,9,10,10,8,8
1,0,0,0.6,0.7,1,5-5,11-1,0,-0.43,1,0,1,0,0,0,0.05,0.05,0.05,0.05,6,8,8,8,7,6,5,8,8,2,2,2
1,0,0,0.7,0.6,1,5-5,12-2,1,0,1,0,0.75,1,0.15,0.05,0.15,0.1,0.15,0.2,6,7,10,7,6,5,8,6,6,5,5,5
1,0,1,1,0.6,1,5-5,13-3,2,-0.17,0,0,0.785714286,1,0.01,0.02,0.01,0.02,0.14,0.08,10,10,10,10,10,10,4,6,8,8,6,5
1,1,1,0.7,0.8,1,5-5,14-4,3,0.08,1,0,1.178571429,1,0.1167,0.0083,0.0083,0.0542,0.1667,0.0125,6,8,6,8,10,10,8,5,5,7,7,9
1,0,0,0.5,0.7,1,5-5,15-5,4,-0.16,0,0,0.964285714,0,0.0462,0.0269,0.0269,0.0269,0.1731,0.0462,5,9,9,7,9,5,6,7,7,5,4,8
1,0,0,0.6,0.7,1,5-5,16-6,5,0.06,1,0,1.071428571,0,0.0333,0.075,0.0083,0.0125,0.125,0.0125,5,8,7,7,7,7,5,6,7,5,7,8
1,0,0,0.3,0.6,1,5-5,17-7,6,-0.05,1,0,1,0,0.0696,0.0174,0.0043,0.0261,0.1522,0.0696,2,3,4,4,5,3,6,6,8,5,5,6
1,0,0,0.6,0.6,1,5-5,18-8,7,0.07,1,0,0.928571429,0,0.0302,0.0302,0.0113,0.0302,0.1321,0.0302,5,5,6,5,5,5,5,5,7,6,7,5
1,1,1,0.7,0.9,1,5-5,19-9,8,-0.13,1,0,0.821428571,0,0.0462,0.0077,0.0269,0.0077,0.0962,0.0077,5,9,9,9,9,6,7,5,7,8,7,9
1,0,0,0.4,1,1,5-5,20-10,9,-0.06,1,0,1.071428571,0,0.025,0.025,0,0.075,0.2,0.075,3,10,7,7,10,5,9,6,7,9,6,5
1,0,0,0.7,0.6,1,6-6,11-1,0,0.33,0,1,1.217391304,0,0.1,0.05,0.05,0.1,0,0.1,7,9,8,9,8,4,6,9,7,6,7,6
1,0,0,0.7,0.7,1,6-6,12-2,1,0.37,0,1,0.913043478,0,0.25,0.1,0.15,0.05,0.1,0.15,6,8,10,6,7,6,6,9,9,6,8,2
1,0,1,1,0.6,1,6-6,13-3,2,-0.51,1,1,0.956521739,1,0.09,0.07,0.01,0.07,0.09,0.03,10,10,10,10,10,10,4,7,9,4,3,2
1,1,1,0.7,0.9,1,6-6,14-4,3,0.12,0,1,1.434782609,0,0.0167,0.0417,0.0083,0.1042,0.1167,0.0375,6,8,8,7,9,8,8,6,7,8,2,8
1,0,1,0.9,0.4,1,6-6,15-5,4,0.35,0,1,1.173913043,1,0.0538,0.0769,0.0269,0.0769,0.1231,0.0038,9,7,9,7,9,6,5,4,8,8,4,2
1,0,1,0.6,0.2,1,6-6,16-6,5,0.19,0,1,1.304347826,0,0.0667,0.125,0.0083,0.0625,0.075,0.0375,6,6,8,8,8,7,3,7,6,1,1,1
1,0,0,0.3,0.8,1,6-6,17-7,6,0.47,0,1,1.217391304,0,0.0304,0.0326,0.0043,0.0761,0.1022,0.0196,5,6,8,4,5,4,8,8,8,8,3,4
1,0,0,0.7,0.5,1,6-6,18-8,7,0.03,0,1,1.130434783,0,0.0698,0.0802,0.0113,0.0802,0.0821,0.0198,6,7,8,7,8,5,4,8,9,2,8,3
1,1,1,0.6,0.9,1,6-6,19-9,8,0.46,0,0,1,0,0.0538,0.0577,0.0269,0.0577,0.0462,0.0423,6,7,7,6,6,6,7,6,8,8,6,9
1,0,0,0.6,0.9,1,6-6,20-10,9,0.43,0,1,1.304347826,0,0.075,0.075,0,0.125,0.15,0.025,7,10,10,6,10,7,8,9,9,9,10,7
1,0,0,0.7,0.7,1,7-7,11-1,0,0.19,0,1,0.823529412,0,0.1,0.1,0.15,0.05,0.05,0.05,7,8,8,8,7,7,4,8,8,5,7,4
1,0,1,0.8,0.7,1,7-7,12-2,1,0.21,0,1,0.617647059,1,0.25,0.05,0.25,0.1,0.05,0.2,7,9,10,6,6,5,6,6,8,4,9,4
1,0,1,1,0.7,1,7-7,13-3,2,0.52,1,1,0.647058824,0,0.09,0.08,0.11,0.02,0.04,0.08,10,10,10,10,10,10,3,6,8,7,8,8
1,1,1,0.8,0.8,1,7-7,14-4,3,-0.46,0,1,0.970588235,1,0.0167,0.1083,0.0917,0.0542,0.0667,0.0125,8,8,9,8,9,9,7,8,8,7,7,6
1,0,1,0.8,0.5,1,7-7,15-5,4,-0.27,0,1,0.794117647,0,0.0538,0.0731,0.1269,0.0269,0.0731,0.0462,8,7,9,6,9,5,4,7,7,4,8,5
1,0,1,0.7,0.5,1,7-7,16-6,5,0.59,0,1,0.882352941,0,0.0667,0.025,0.0917,0.0125,0.025,0.0125,8,8,8,6,6,6,4,8,7,4,5,4
1,0,0,0.5,0.8,1,7-7,17-7,6,0.31,0,1,0.823529412,0,0.0304,0.1174,0.1043,0.0261,0.0522,0.0696,7,6,5,4,4,3,7,7,8,7,7,7
1,0,1,0.7,0.5,1,7-7,18-8,7,0.08,0,1,0.764705882,0,0.0698,0.0698,0.1113,0.0302,0.0321,0.0302,8,7,6,7,7,5,5,7,8,5,9,5
1,1,1,0.9,0.6,1,7-7,19-9,8,-0.34,0,0,0.676470588,0,0.0538,0.0923,0.1269,0.0077,0.0038,0.0077,9,7,9,9,9,10,6,6,8,8,8,6
1,0,0,0.7,0.7,1,7-7,20-10,9,-0.16,0,1,0.882352941,0,0.075,0.075,0.1,0.075,0.1,0.075,7,6,8,6,8,7,8,6,7,7,8,6
1,0,0,0.7,0.4,1,8-8,11-1,0,-0.03,1,1,1.217391304,0,0.05,0.05,0.05,0,0.1,0.05,8,7,6,6,6,5,5,8,7,4,7,5
1,1,1,0.9,0.8,1,8-8,12-2,1,-0.11,1,1,0.913043478,0,0.2,0,0.15,0.15,0,0.2,8,8,10,7,6,5,8,7,7,9,6,7
1,1,1,1,0.5,1,8-8,13-3,2,0.42,0,1,0.956521739,0,0.04,0.03,0.01,0.03,0.01,0.08,10,10,10,10,10,10,5,8,8,6,7,7
1,1,1,0.8,0.5,1,8-8,14-4,3,-0.4,1,1,1.434782609,0,0.0667,0.0583,0.0083,0.0042,0.0167,0.0125,8,8,8,8,8,7,8,6,5,6,6,5
1,1,1,0.9,0.6,1,8-8,15-5,4,-0.23,0,1,1.173913043,0,0.0038,0.0231,0.0269,0.0231,0.0231,0.0462,9,9,8,9,,7,6,8,8,5,6,7
1,1,1,0.7,0.6,1,8-8,16-6,5,0.28,1,1,1.304347826,0,0.0167,0.025,0.0083,0.0375,0.025,0.0125,8,7,7,7,8,7,6,8,8,5,6,7
1,0,0,0.4,0.6,1,8-8,17-7,6,0.05,1,1,1.217391304,0,0.0196,0.0674,0.0043,0.0239,0.0022,0.0696,6,4,7,5,6,4,6,7,8,5,7,7
1,1,1,0.7,0.5,1,8-8,18-8,7,0.17,1,1,1.130434783,0,0.0198,0.0198,0.0113,0.0198,0.0179,0.0302,9,8,8,8,7,5,5,6,7,4,5,6
1,1,1,0.8,0.7,1,8-8,19-9,8,-0.47,1,0,1,0,0.0038,0.0423,0.0269,0.0423,0.0538,0.0077,8,7,8,10,8,10,8,8,5,9,8,9
1,1,1,0.8,0.8,1,8-8,20-10,9,-0.21,1,1,1.304347826,0,0.025,0.025,0,0.025,0.05,0.075,8,10,9,9,8,8,7,6,8,7,9,8
1,0,0,0.6,0.5,1,9-9,11-1,0,0.19,0,1,0.717948718,0,0.2,0,0,0.05,0.05,0.2,6,8,7,8,7,5,8,10,9,8,7,6
1,1,1,0.8,1,1,9-9,12-2,1,0.03,0,1,0.538461538,0,0.05,0.05,0.1,0.1,0.15,0.05,8,8,10,7,6,5,10,10,10,10,10,10
1,1,1,1,0.8,1,9-9,13-3,2,0.68,0,1,0.564102564,0,0.21,0.02,0.04,0.02,0.14,0.07,10,10,10,10,10,10,5,10,10,6,6,6
1,1,1,0.7,0.7,1,9-9,14-4,3,-0.26,0,1,0.846153846,0,0.3167,0.0083,0.0583,0.0542,0.1667,0.1375,7,8,7,8,8,7,10,9,8,8,7,7
1,1,1,0.7,0.5,1,9-9,15-5,4,-0.01,0,1,0.692307692,0,0.2462,0.0269,0.0231,0.0269,0.1731,0.1038,7,9,8,9,7,7,5,10,8,8,5,5
1,1,1,0.6,0.6,1,9-9,16-6,5,0.42,0,1,0.769230769,0,0.2333,0.075,0.0583,0.0125,0.125,0.1375,6,6,7,8,7,7,8,9,9,7,6,5
1,1,1,0.8,0.7,1,9-9,17-7,6,0.21,0,1,0.717948718,0,0.2696,0.0174,0.0457,0.0261,0.1522,0.0804,8,6,7,8,6,5,6,8,9,6,6,6
1,0,0,0.7,0.7,1,9-9,18-8,7,0.1,0,1,0.666666667,0,0.2302,0.0302,0.0387,0.0302,0.1321,0.1198,7,7,7,7,6,5,6,7,8,7,9,6
1,1,1,0.6,0.7,1,9-9,19-9,8,-0.35,0,0,0.58974359,0,0.2462,0.0077,0.0231,0.0077,0.0962,0.1423,6,6,6,7,6,6,8,5,5,6,5,5
1,0,0,0.6,0.8,1,9-9,20-10,9,-0.23,0,1,0.769230769,0,0.225,0.025,0.05,0.075,0.2,0.075,5,6,6,6,6,6,7,8,7,8,7,8
1,0,0,0.6,0.6,1,10-10,11-1,0,0.3,1,1,1.076923077,0,0.05,0.05,0,0.25,0.05,0.2,7,8,7,8,6,5,6,10,10,6,6,0
1,0,0,0.1,0.1,1,10-10,12-2,1,0.65,1,1,0.807692308,0,0.2,0,0.1,0.1,0.05,0.05,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,0.7,1,10-10,13-3,2,-0.15,0,1,0.846153846,0,0.04,0.03,0.04,0.22,0.04,0.07,10,10,10,10,10,10,6,10,10,10,6,0
1,0,1,0.7,1,1,10-10,14-4,3,0.17,1,1,1.269230769,1,0.0667,0.0583,0.0583,0.2542,0.0667,0.1375,7,8,7,9,8,8,10,10,10,10,10,0
1,0,1,0.6,0.6,1,10-10,15-5,4,0.24,0,1,1.038461538,0,0.0038,0.0231,0.0231,0.2269,0.0731,0.1038,6,9,9,7,8,,5,7,7,7,7,0
1,0,0,0.6,0.6,1,10-10,16-6,5,0.15,1,1,1.153846154,0,0.0167,0.025,0.0583,0.2125,0.025,0.1375,,8,7,7,7,7,5,10,6,4,6,0
1,0,0,0.3,0.7,1,10-10,17-7,6,0.41,1,1,1.076923077,0,0.0196,0.0674,0.0457,0.2261,0.0522,0.0804,7,7,4,3,4,4,5,10,8,6,9,0
1,0,0,0.7,0.5,1,10-10,18-8,7,0.07,1,1,1,0,0.0198,0.0198,0.0387,0.2302,0.0321,0.1198,6,6,6,6,6,5,5,6,6,4,5,0
1,1,1,0.7,0.9,1,10-10,19-9,8,0.49,1,0,0.884615385,0,0.0038,0.0423,0.0231,0.2077,0.0038,0.1423,7,7,7,7,6,6,9,9,9,9,9,9
1,0,0,0.7,0.9,1,10-10,20-10,9,0.08,1,1,1.153846154,0,0.025,0.025,0.05,0.275,0.1,0.075,6,6,6,6,6,6,9,9,8,10,8,8
2,0,0,0.4,0.9,2,21-1,40-1,0,-0.23,1,1,1,0,0.05,0.0556,0,0.0444,0.0111,0.0278,3,10,10,6,4,7,6,8,7,9,5,7
2,0,0,0.5,0.7,2,21-1,41-2,1,-0.3,1,0,1.034482759,0,0.1,0.0444,0.1,0.1444,0.1111,0.0778,5,5,5,5,5,,5,8,7,5,9,5
2,0,0,0.6,0.9,2,21-1,42-3,2,0.46,1,1,0.896551724,0,0.1,0.0944,0,0.0556,0.0111,0.1278,3,10,9,5,9,2,8,9,8,8,7,6
2,0,0,0.5,0.6,2,21-1,43-4,3,0.43,0,1,1.034482759,0,0,0.0444,0,0.0444,0.0111,0.0778,4,5,6,4,6,2,5,8,8,4,9,3
2,0,1,0.8,0.6,2,21-1,44-5,4,-0.4,0,1,0.896551724,0,0.3,0.0556,0.1,0.1444,0.1111,0.1778,6,7,8,6,7,7,7,7,8,5,7,2
2,0,1,0.7,0.5,2,21-1,45-6,5,0.01,0,0,0.827586207,0,0.1,0.0944,0,0.0044,0.0889,0.0878,7,8,8,7,9,6,6,8,8,6,8,4
2,0,0,0.8,0.8,2,21-1,46-7,6,0.22,0,1,0.827586207,0,0.1,0.0444,0,0.0056,0.0889,0.0278,6,7,10,8,9,8,6,8,8,6,8,5
2,0,1,0.5,0.5,2,21-1,47-8,7,-0.06,0,0,0.931034483,0,0.04,0.0344,0.04,0.0144,0.0389,0.0078,9,5,6,5,5,7,4,7,7,4,7,3
2,0,0,0.4,0.6,2,21-1,48-9,8,-0.08,0,0,1,0,0.05,0.0444,0,0.0444,0.0611,0.0222,3,8,5,5,8,3,7,7,7,5,6,3
2,0,0,0.6,0.9,2,21-1,49-10,9,0.28,1,1,0.862068966,0,0,0.0444,0,0.0444,0.0611,0.0278,6,7,8,4,6,4,9,9,10,9,9,8
2,0,0,0.7,0.6,2,21-1,50-11,10,0.27,0,1,0.931034483,0,0.15,0.0556,0,0.0056,0.0111,0.0778,5,8,8,,,,5,7,7,7,7,6
2,0,0,0.5,0.2,2,21-1,51-12,11,0.44,0,1,0.793103448,0,0.05,0.0556,0.15,0.0056,0.1111,0.0278,2,8,8,3,2,2,7,4,6,4,4,2
2,0,0,0.6,0.6,2,21-1,52-13,12,0.62,0,1,0.896551724,0,0.1,0.1444,0,0.0056,0.0389,0.0778,6,6,8,6,7,6,5,8,8,5,8,2
2,0,0,0.7,0.6,2,21-1,53-14,13,-0.08,0,1,0.965517241,0,0.2,0.0056,0,0.0556,0.0611,0.0778,6,8,8,7,7,6,6,8,7,7,7,2
2,0,0,0.5,0.6,2,21-1,54-15,14,-0.2,0,0,0.793103448,0,0.2,0.1444,0.2,0.0444,0.1111,0.0778,5,7,7,7,7,5,6,8,7,6,8,2
2,0,0,0.6,0.8,2,21-1,55-16,15,0.39,0,1,0.793103448,0,0,0.0944,0.05,0.0556,0.0111,0.0778,5,8,10,7,9,5,5,9,9,8,9,5
2,0,0,0.3,0.6,2,22-2,40-1,0,0.29,0,0,1.074074074,0,0.0944,0.0778,0.0222,0.0222,0.0778,0.0167,4,10,8,8,6,4,5,7,7,6,7,5
2,0,0,0.5,0.3,2,22-2,41-2,1,-0.23,0,0,1.111111111,0,0.1444,0.0222,0.0778,0.1222,0.1778,0.0333,5,5,5,5,5,,4,7,6,6,7,2
2,0,0,0.2,0.3,2,22-2,42-3,2,0.44,0,0,0.962962963,0,0.1444,0.0722,0.0222,0.0778,0.0778,0.0833,3,6,8,5,5,1,5,6,6,5,6,3
2,0,0,0.5,0.4,2,22-2,43-4,3,-0.04,0,0,1.111111111,0,0.0444,0.0222,0.0222,0.0222,0.0778,0.0333,4,5,5,3,5,1,5,7,7,5,7,3
2,1,1,0.6,0.6,2,22-2,44-5,4,-0.21,0,0,0.962962963,0,0.3444,0.0778,0.0778,0.1222,0.1778,0.1333,6,7,6,6,8,5,6,8,8,7,7,6
2,1,1,0.6,0.6,2,22-2,45-6,5,-0.02,0,1,0.888888889,0,0.0556,0.0722,0.0222,0.0178,0.0222,0.0433,7,7,7,5,6,5,6,7,7,4,6,6
2,0,0,0.5,0.7,2,22-2,46-7,6,-0.33,0,0,0.888888889,0,0.0556,0.0222,0.0222,0.0278,0.0222,0.0167,5,8,5,5,6,5,8,7,7,7,6,7
2,0,1,0.4,0.5,2,22-2,47-8,7,0.27,0,0,1,0,0.0044,0.0122,0.0178,0.0078,0.0278,0.0367,,5,6,5,6,3,5,7,7,6,6,5
2,0,0,0.5,0.7,2,22-2,48-9,8,0.73,0,1,1.074074074,0,0.0056,0.0222,0.0222,0.0222,0.1278,0.0667,4,6,6,5,,3,7,7,7,7,7,6
2,0,0,0.7,0.5,2,22-2,49-10,9,-0.08,0,0,0.925925926,0,0.0444,0.0222,0.0222,0.0222,0.1278,0.0167,7,8,7,7,7,,6,7,7,5,7,4
2,0,0,0.7,0.6,2,22-2,50-11,10,0.12,1,0,1,0,0.1944,0.0778,0.0222,0.0278,0.0778,0.0333,6,8,7,6,,,5,6,7,7,7,7
2,0,0,0.2,0.2,2,22-2,51-12,11,-0.52,0,0,0.851851852,0,0.0944,0.0778,0.1722,0.0278,0.1778,0.0167,2,2,3,2,2,1,3,4,5,4,4,2
2,0,0,0.4,0.2,2,22-2,52-13,12,0.03,0,0,0.962962963,0,0.0556,0.1222,0.0222,0.0278,0.0278,0.0333,4,6,7,6,5,5,3,6,7,5,5,4
2,0,0,0.7,0.8,2,22-2,53-14,13,0.5,0,0,1.037037037,0,0.2444,0.0278,0.0222,0.0778,0.1278,0.0333,6,8,8,7,8,6,7,7,8,6,7,8
2,0,0,0.6,0.4,2,22-2,54-15,14,0.33,0,0,0.851851852,0,0.2444,0.1222,0.1778,0.0222,0.1778,0.0333,4,7,7,6,6,5,4,5,5,4,5,4
2,0,0,0.7,0.7,2,22-2,55-16,15,0.16,1,0,0.851851852,0,0.0444,0.0722,0.0722,0.0778,0.0778,0.0333,5,8,9,7,10,8,6,7,7,7,7,7
2,0,0,0.1,0.8,2,23-3,40-1,0,0.22,1,1,0.935483871,0,0.0722,0.0778,0.0222,0.0222,0.0333,0.0056,5,4,3,7,4,3,5,7,6,6,6,7
2,0,0,0.5,0.7,2,23-3,41-2,1,0.06,1,0,0.967741935,0,0.1222,0.0222,0.0778,0.1222,0.1333,0.0556,8,8,8,8,8,,5,7,7,6,6,7
2,0,0,0.8,0.65,2,23-3,42-3,2,0.41,1,1,0.838709677,0,0.1222,0.0722,0.0222,0.0778,0.0333,0.1056,6,10,9,8,9,,6,6,7,6,6,6
2,1,1,0.6,0.7,2,23-3,43-4,3,-0.35,0,1,0.967741935,1,0.0222,0.0222,0.0222,0.0222,0.0333,0.0556,4,6,5,4,3,2,5,7,8,6,6,7
2,1,1,0.8,0.9,2,23-3,44-5,4,-0.17,0,1,0.838709677,1,0.3222,0.0778,0.0778,0.1222,0.1333,0.1556,8,8,8,10,7,8,7,7,7,6,6,9
2,1,1,0.7,0.7,2,23-3,45-6,5,-0.1,0,0,0.774193548,0,0.0778,0.0722,0.0222,0.0178,0.0667,0.0656,7,8,7,6,6,6,6,7,7,6,7,5
2,0,0,0.8,0.7,2,23-3,46-7,6,-0.52,0,1,0.774193548,0,0.0778,0.0222,0.0222,0.0278,0.0667,0.0056,6,8,9,8,8,9,7,6,7,7,7,6
2,0,1,0.6,0.6,2,23-3,47-8,7,0.21,0,0,0.870967742,0,0.0178,0.0122,0.0178,0.0078,0.0167,0.0144,5,6,6,4,7,4,5,6,7,6,6,6
2,0,0,0.3,0.6,2,23-3,48-9,8,0.58,0,0,0.935483871,0,0.0278,0.0222,0.0222,0.0222,0.0833,0.0444,4,6,6,4,3,3,6,6,6,8,6,5
2,0,0,0.6,0.8,2,23-3,49-10,9,-0.23,1,1,0.806451613,0,0.0222,0.0222,0.0222,0.0222,0.0833,0.0056,7,8,8,6,7,3,7,7,6,7,6,7
2,0,0,0.7,0.7,2,23-3,50-11,10,0.05,0,1,0.870967742,0,0.1722,0.0778,0.0222,0.0278,0.0333,0.0556,5,,7,6,,,6,6,7,8,8,7
2,0,0,0.2,0.6,2,23-3,51-12,11,-0.57,0,1,0.741935484,0,0.0722,0.0778,0.1722,0.0278,0.1333,0.0056,4,6,4,1,1,1,7,6,5,4,4,4
